epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.09697,1.01585,4.55347,2.65387,1.42637,0,0.00333,1,0.04784,0.02216,0.00296,0.88889,0.0242,0.01386,0.69146,2.73952,3.31456,1.3242,0,8e-05,8e-05,8e-05
2,5.50119,0.93969,4.10993,2.64059,1.37249,0,0.00333,1,0.56325,0.30777,0.00333,1,0.51845,0.28835,0.70091,2.78584,3.32634,1.47701,0,0.00017406,0.00017406,0.00017406
3,7.99124,0.82587,2.79073,2.13803,1.34927,0,0.00333,1,0.623,0.35926,0.00333,1,0.53164,0.27296,1.02762,3.94176,3.40226,1.85783,0,0.00026152,0.00026152,0.00026152
4,10.4356,0.7836,1.99522,1.82165,1.30136,0,0.00333,1,0.71991,0.40961,0.00333,1,0.5415,0.25961,0.70737,2.97607,3.23393,1.46763,0,0.00034238,0.00034238,0.00034238
5,12.8455,0.68647,1.75538,1.63574,1.25183,0,0.00315,0.94444,0.73819,0.41903,0.00296,0.88889,0.59584,0.26813,0.97289,3.5811,3.25024,1.69318,0,0.00041664,0.00041664,0.00041664
6,15.2807,0.75473,1.74076,1.66244,1.26117,0,0.00333,1,0.75496,0.45158,0.00333,1,0.60464,0.29648,0.90652,2.74069,3.10763,1.68918,0,0.0004843,0.0004843,0.0004843
7,17.7175,0.68596,1.5322,1.49636,1.25235,0,0.93171,0.75883,0.87267,0.53327,0.81047,0.71318,0.74428,0.38995,1.07672,3.51001,2.73433,2.12582,0,0.00054536,0.00054536,0.00054536
8,20.0774,0.7648,1.5743,1.55709,1.26919,0,0.84721,0.83333,0.91615,0.46554,0.6702,0.66667,0.66196,0.3845,1.25721,4.16972,2.75701,2.43437,0,0.00059982,0.00059982,0.00059982
9,22.5157,0.77118,1.46128,1.47796,1.26214,0,0.69577,0.76289,0.76415,0.37029,0.59074,0.66667,0.62905,0.33981,1.42408,2.73101,3.09968,2.53555,0,0.00064768,0.00064768,0.00064768
10,24.9472,0.70764,1.45398,1.4323,1.1781,0,0.77339,0.88889,0.89497,0.37209,0.64842,0.72222,0.73638,0.38401,1.32106,2.4713,2.9022,2.68207,0,0.00068894,0.00068894,0.00068894
11,27.3262,0.80252,1.32257,1.48715,1.28681,0,0.89383,0.94444,0.91967,0.47168,0.72348,0.77778,0.71501,0.41137,1.29739,2.91077,2.55864,2.38897,0,0.0007236,0.0007236,0.0007236
12,29.6601,0.76481,1.27394,1.32158,1.23157,0,0.6925,0.83333,0.73869,0.36312,0.60732,0.72222,0.55627,0.28269,1.09195,3.10371,2.6884,1.85266,0,0.00075166,0.00075166,0.00075166
13,31.9939,0.76436,1.50751,1.36272,1.23416,0,0.62482,0.74076,0.73415,0.40209,0.49263,0.55556,0.52111,0.26022,0.90161,4.6723,2.61501,1.64475,0,0.00077312,0.00077312,0.00077312
14,34.32,0.76812,1.41083,1.33781,1.2512,0,0.41368,0.72222,0.56283,0.21246,0.28905,0.66667,0.3655,0.09407,1.2343,6.00592,2.96411,2.01066,0,0.00078798,0.00078798,0.00078798
15,36.7678,0.83509,1.40552,1.40142,1.26915,0,0.49945,0.49896,0.3458,0.06758,0.58787,0.61111,0.47964,0.14138,2.88923,3.48406,3.3678,3.99299,0,0.00079624,0.00079624,0.00079624
16,39.1261,0.82365,1.48104,1.44329,1.36326,0,0.83104,0.82032,0.7358,0.22802,0.83104,0.82032,0.82095,0.32895,2.21448,3.40449,2.57997,3.6299,0,0.0007979,0.0007979,0.0007979
17,41.5311,0.76567,1.49153,1.30309,1.2902,0,0.9118,0.77778,0.84309,0.40911,0.84545,0.72222,0.82236,0.37803,1.76942,3.32674,2.23768,3.23234,0,0.00079296,0.00079296,0.00079296
18,43.939,0.74914,1.37973,1.35387,1.2687,0,0.87408,0.77165,0.87591,0.45202,0.80819,0.70308,0.73259,0.34554,1.40437,2.97249,2.31174,2.57025,0,0.00078142,0.00078142,0.00078142
19,46.3026,0.72912,1.27506,1.24332,1.25507,0,0.6987,0.77778,0.77796,0.41201,0.67192,0.55556,0.60011,0.2781,1.39291,3.18309,2.25548,2.5299,0,0.00076328,0.00076328,0.00076328
20,48.7047,0.70143,1.38748,1.24934,1.19748,0,0.84477,0.90764,0.81189,0.43693,0.74993,0.77778,0.68772,0.32578,1.4254,3.00331,2.01951,2.63635,0,0.00073854,0.00073854,0.00073854
21,51.0686,0.68363,1.04782,1.98774,1.36717,0,0.93265,0.94444,0.91389,0.53044,0.87701,0.88889,0.85152,0.46437,1.18441,2.37153,1.72672,2.75956,0,0.00068,0.00068,0.00068
22,53.2294,0.56868,1.26688,1.67644,1.32982,0,0.92993,0.94444,0.92,0.58149,0.87489,0.88889,0.85799,0.50348,1.21013,2.37529,1.69955,2.89016,0,0.000614,0.000614,0.000614
23,55.3535,0.64787,1.20404,1.60667,1.43302,0,0.919,0.83333,0.88453,0.58197,0.88422,0.8492,0.86373,0.5417,1.16402,2.2343,1.92289,2.38915,0,0.000548,0.000548,0.000548
24,57.5358,0.61199,0.96479,1.57346,1.3291,0,1,0.87863,0.94194,0.65427,1,0.87863,0.94194,0.48808,1.04133,3.59144,2.1102,1.8644,0,0.000482,0.000482,0.000482
25,59.6436,0.55457,0.95494,1.54859,1.24746,0,0.89338,0.93154,0.88707,0.63443,0.84047,0.87851,0.82589,0.41237,0.93883,3.72714,2.00929,1.64976,0,0.000416,0.000416,0.000416
